yahoo_id,player,nfl_team,pos,roster_status,gp,bye,fan_pts,proj_preseason,actual_pts,pct_ros,pass_yds,pass_td,int,rush_att,rush_yds,rush_td,tgt,rec,rec_yds,rec_td,ret_td,two_pt,fum_lost
41904,Elic Ayomanor,,,FA,1,9,7.6,274.0,274.0,0,0,0,0,0,0,0,3,1,11,1,0,0,0
40915,Adonai Mitchell,NYJ,WR,FA,1,13,7.5,125.0,125.0,16,0,0,0,0,0,0,3,3,60,0,0,0,0
30231,Mack Hollins,NE,WR,FA,1,11,7.1,257.0,257.0,4,0,0,0,0,0,0,5,4,51,0,0,0,0
42717,Eli Raridon,NE,TE,FA,1,11,6.7,,,1,0,0,0,0,0,0,1,1,2,1,0,0,0
42400,Jahdae Walker,,,FA,1,10,6.6,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0
30227,Samaje Perine,,,FA,1,6,6.5,246.0,246.0,4,0,0,0,5,20,0,3,3,30,0,0,0,0
41885,Jaylin Noel,,,FA,1,8,6.3,201.0,201.0,2,0,0,0,0,0,0,2,2,53,0,0,0,0
26699,Keenan Allen,,,FA,1,13,6.2,145.0,145.0,25,0,0,0,0,0,0,6,6,32,0,0,0,0
41860,Pat Bryant,,,FA,1,10,6.2,149.0,149.0,10,0,0,0,0,0,0,6,4,42,0,0,0,0
40065,Michael Mayer,LV,TE,FA,1,13,6.2,,,20,0,0,0,0,0,0,7,6,32,0,0,0,0
30213,Jonnu Smith,GB,TE,FA,1,11,6.0,332.0,332.0,0,0,0,0,0,0,0,3,2,50,0,0,0,0
29341,Chris Moore,,,FA,1,13,5.8,,,0,0,0,0,0,0,0,2,1,53,0,0,0,0
30788,Cooper Rush,,,FA,1,11,5.72,,,1,143,1,2,0,0,0,0,0,0,0,0,0,0
42758,Bryce Lance,NO,WR,FA,1,8,5.7,249.0,249.0,0,0,0,0,0,0,0,4,3,42,0,0,0,0
31107,Dalton Schultz,,,FA,1,8,5.5,142.0,142.0,50,0,0,0,0,0,0,8,4,35,0,0,0,0
42706,Ted Hurst III,TB,WR,FA,1,10,5.1,221.0,221.0,1,0,0,0,0,0,0,3,3,36,0,0,0,0
41058,Malik Washington,,,FA,1,6,4.8,219.0,219.0,14,0,0,0,0,0,0,8,3,53,0,0,0,1
41905,Gunnar Helm,,,FA,1,9,4.8,176.0,176.0,2,0,0,0,0,0,0,5,4,28,0,0,0,0
40126,Josh Downs,,,W (Sep 19),1,13,4.7,91.0,91.0,83,0,0,0,0,0,0,4,2,37,0,0,0,0
40232,Xavier Hutchinson,,,FA,1,8,4.7,,,2,0,0,0,0,0,0,6,3,32,0,0,0,0
40222,DeMario Douglas,NE,WR,FA,1,11,4.5,243.0,243.0,5,0,0,0,0,0,0,7,5,20,0,0,0,0
